min(X),min(Y),min(Z),max(X),max(Y),max(Z),mean(X),mean(Y),mean(Z),variance(X),variance(Y),variance(Z),std(X),std(Y),std(Z),skewness(X),skewness(Y),skewness(Z),kurtosis(X),kurtosis(Y),kurtosis(Z),median(X),median(Y),median(Z),percentile25(X),percentile75(X),percentile25(Y),percentile75(Y),percentile25(Z),percentile75(Z),corr_axis(XY),corr_axis(XZ),corr_axis(YZ),zerocross(X),zerocross(Y),zerocross(Z),energy(X),energy(Y),energy(Z),dominantFr(X),dominantFrMag(X),dominantFr(Y),dominantFrMag(Y),dominantFr(Z),dominantFrMag(Z),user,activity
-35.000000000000000,-18.000000000000000,43.000000000000000,-1.000000000000000,34.000000000000000,70.000000000000000,-13.928125000000000,3.987500000000000,56.850000000000001,144.367858500000010,469.090752399999990,46.604388710000002,12.015317659999999,21.658503000000000,6.826740709000000,-0.526913566000000,0.327701859000000,-0.590733626000000,1.455507157000000,1.260255361000000,1.814303033000000,-6.000000000000000,-13.000000000000000,60.000000000000000,-29.000000000000000,-4.000000000000000,-16.000000000000000,31.000000000000000,49.000000000000000,62.000000000000000,-0.968031306000000,0.912800558000000,-0.842201622000000,7.000000000000000,1.000000000000000,9.000000000000000,108131.000000000000000,154728.000000000000000,1049082.000000000000000,0.062500000000000,47427.400390000003000,0.062500000000000,158477.062400000000000,0.062500000000000,12344.023550000000000,8.000000000000000,1.000000000000000
-38.000000000000000,-16.000000000000000,42.000000000000000,-4.000000000000000,37.000000000000000,70.000000000000000,-27.809374999999999,29.096875000000001,48.128124999999997,61.195523119999997,117.554849100000000,41.597952589999998,7.822756747000000,10.842271400000000,6.449647478000000,1.915989291000000,-2.415482892000000,1.633605028000000,5.522117026000000,8.391840652000001,4.636766036000000,-31.000000000000000,33.000000000000000,45.500000000000000,-32.000000000000000,-29.000000000000000,31.000000000000000,35.000000000000000,44.000000000000000,49.000000000000000,-0.930384848000000,0.888992386000000,-0.813902844000000,22.000000000000000,5.000000000000000,15.000000000000000,266997.000000000000000,308421.000000000000000,754491.000000000000000,0.062500000000000,11369.362190000000000,0.062500000000000,20792.581129999999000,0.062500000000000,9891.217130999999400,8.000000000000000,1.000000000000000
-38.000000000000000,32.000000000000000,40.000000000000000,-28.000000000000000,38.000000000000000,48.000000000000000,-32.068750000000001,34.512500000000003,43.924999999999997,2.471747649000000,1.184796238000000,1.216927900000000,1.572179267000000,1.088483458000000,1.103144551000000,-0.332284663000000,0.179735669000000,-0.062024777000000,3.857490788000000,2.887478878000000,6.108977590000000,-32.000000000000000,34.000000000000000,44.000000000000000,-33.000000000000000,-31.000000000000000,34.000000000000000,35.000000000000000,43.000000000000000,44.000000000000000,0.476779829000000,0.067509584000000,-0.294224596000000,16.000000000000000,11.000000000000000,21.000000000000000,329878.000000000000000,381534.000000000000000,617798.000000000000000,0.250000000000000,137.334921299999990,0.125000000000000,121.257300300000000,0.125000000000000,31.545775209999999,8.000000000000000,1.000000000000000
-37.000000000000000,32.000000000000000,40.000000000000000,-28.000000000000000,38.000000000000000,48.000000000000000,-31.631250000000001,34.440624999999997,44.309375000000003,2.170807210000000,0.686118730000000,1.085805251000000,1.473365946000000,0.828322842000000,1.042019794000000,-0.369208270000000,0.753003806000000,-1.326310833000000,3.138930061000000,4.901300669000000,7.453969027000000,-31.000000000000000,34.000000000000000,44.000000000000000,-33.000000000000000,-31.000000000000000,34.000000000000000,35.000000000000000,44.000000000000000,45.000000000000000,0.475209870000000,0.227652930000000,-0.078528457000000,8.000000000000000,10.000000000000000,15.000000000000000,320864.000000000000000,379789.000000000000000,628609.000000000000000,0.062500000000000,205.058131400000010,0.437500000000000,32.741525080000002,0.062500000000000,97.883917470000000,8.000000000000000,1.000000000000000
-33.000000000000000,32.000000000000000,44.000000000000000,-29.000000000000000,37.000000000000000,46.000000000000000,-30.553125000000001,34.631250000000001,44.881250000000001,0.517545063000000,0.302468652000000,0.142594044000000,0.719406049000000,0.549971501000000,0.377616265000000,-0.698984128000000,-0.249431317000000,-1.239607477000000,3.646334715000000,4.945143915000000,5.565990811000000,-30.000000000000000,35.000000000000000,45.000000000000000,-31.000000000000000,-30.000000000000000,34.000000000000000,35.000000000000000,45.000000000000000,45.000000000000000,0.473256568000000,0.195954028000000,-0.015283171000000,4.000000000000000,2.000000000000000,5.000000000000000,298883.000000000000000,383880.000000000000000,644630.000000000000000,0.062500000000000,68.976526600000000,0.187500000000000,9.438866537999999,0.062500000000000,2.914411036000000,8.000000000000000,1.000000000000000
-34.000000000000000,32.000000000000000,42.000000000000000,-28.000000000000000,37.000000000000000,46.000000000000000,-30.784375000000001,34.562500000000000,44.765625000000000,1.116369514000000,0.510188088000000,0.349284875000000,1.056583889000000,0.714274518000000,0.591003278000000,-1.060929315000000,-0.944233231000000,-1.164095420000000,4.609223871000000,4.803209525000000,6.690262293000000,-31.000000000000000,35.000000000000000,45.000000000000000,-31.000000000000000,-30.000000000000000,34.000000000000000,35.000000000000000,44.000000000000000,45.000000000000000,0.553227351000000,0.271950155000000,-0.028311581000000,9.000000000000000,4.000000000000000,14.000000000000000,303613.000000000000000,382424.000000000000000,641379.000000000000000,0.062500000000000,110.703767799999990,0.125000000000000,35.115913720000002,0.062500000000000,24.821784820000001,8.000000000000000,1.000000000000000
-35.000000000000000,32.000000000000000,39.000000000000000,-27.000000000000000,39.000000000000000,49.000000000000000,-31.100000000000001,34.762500000000003,44.399999999999999,1.256426332000000,0.927742947000000,0.867711599000000,1.120904248000000,0.963194138000000,0.931510386000000,-0.096844115000000,0.383509553000000,-0.313239397000000,5.311819475000000,5.584483191000000,9.585619298999999,-31.000000000000000,35.000000000000000,44.000000000000000,-31.000000000000000,-31.000000000000000,34.000000000000000,35.000000000000000,44.000000000000000,45.000000000000000,0.335067866000000,0.221569237000000,-0.334014774000000,21.000000000000000,19.000000000000000,21.000000000000000,309908.000000000000000,386994.000000000000000,631112.000000000000000,0.312500000000000,66.235422869999994,0.062500000000000,75.398494409999998,0.062500000000000,23.044927019999999,8.000000000000000,1.000000000000000
-35.000000000000000,33.000000000000000,39.000000000000000,-27.000000000000000,39.000000000000000,49.000000000000000,-30.671875000000000,35.209375000000001,44.218750000000000,1.261902429000000,0.761667320000000,0.854819749000000,1.123344306000000,0.872735538000000,0.924564627000000,0.512607488000000,1.027052653000000,-0.255442640000000,4.363229116000000,5.064712834000000,12.812481860000000,-31.000000000000000,35.000000000000000,44.000000000000000,-31.000000000000000,-30.000000000000000,35.000000000000000,35.000000000000000,44.000000000000000,45.000000000000000,0.351777565000000,0.307958618000000,-0.204568758000000,21.000000000000000,23.000000000000000,24.000000000000000,301447.000000000000000,396947.000000000000000,625968.000000000000000,0.187500000000000,78.831490959999996,0.187500000000000,32.409473740000003,3.125000000000000,18.458198910000000,8.000000000000000,1.000000000000000
-33.000000000000000,34.000000000000000,39.000000000000000,-27.000000000000000,38.000000000000000,47.000000000000000,-30.031250000000000,35.575000000000003,44.315624999999997,1.096199060000000,0.596238245000000,0.530162618000000,1.046995253000000,0.772164649000000,0.728122667000000,-0.265920921000000,0.157328287000000,-0.660427226000000,3.014163354000000,2.747892804000000,12.432619420000000,-30.000000000000000,36.000000000000000,44.000000000000000,-31.000000000000000,-29.000000000000000,35.000000000000000,36.000000000000000,44.000000000000000,45.000000000000000,0.665965046000000,0.193909602000000,-0.017145098000000,11.000000000000000,16.000000000000000,19.000000000000000,288950.000000000000000,405176.000000000000000,628609.000000000000000,0.062500000000000,129.458466800000000,0.062500000000000,52.626845070000002,4.812500000000000,7.366005743000000,8.000000000000000,1.000000000000000
-32.000000000000000,33.000000000000000,42.000000000000000,-28.000000000000000,37.000000000000000,47.000000000000000,-29.484375000000000,35.809375000000003,44.549999999999997,0.501322492000000,0.380476097000000,0.448902821000000,0.708041307000000,0.616827445000000,0.670002105000000,-0.426764732000000,-0.901341251000000,-0.120257713000000,4.288952317000000,5.620586636000000,3.934864705000000,-29.000000000000000,36.000000000000000,45.000000000000000,-30.000000000000000,-29.000000000000000,36.000000000000000,36.000000000000000,44.000000000000000,45.000000000000000,0.491337953000000,-0.137117427000000,-0.344749264000000,19.000000000000000,19.000000000000000,18.000000000000000,278345.000000000000000,410461.000000000000000,635248.000000000000000,0.375000000000000,18.618642699999999,0.375000000000000,10.560796630000000,2.937500000000000,8.554176474000000,8.000000000000000,1.000000000000000
