min(X),min(Y),min(Z),max(X),max(Y),max(Z),mean(X),mean(Y),mean(Z),variance(X),variance(Y),variance(Z),std(X),std(Y),std(Z),skewness(X),skewness(Y),skewness(Z),kurtosis(X),kurtosis(Y),kurtosis(Z),median(X),median(Y),median(Z),percentile25(X),percentile75(X),percentile25(Y),percentile75(Y),percentile25(Z),percentile75(Z),corr_axis(XY),corr_axis(XZ),corr_axis(YZ),zerocross(X),zerocross(Y),zerocross(Z),energy(X),energy(Y),energy(Z),dominantFr(X),dominantFrMag(X),dominantFr(Y),dominantFrMag(Y),dominantFr(Z),dominantFrMag(Z),user,8activity
-24.442399999999999,-0.716550000000000,-2.162900000000000,0.058940000000000,11.356199999999999,8.941800000000001,-9.087212807000000,4.503875183000000,2.414244861000000,20.195223129999999,2.946484077000000,4.565075442000000,4.493909559000000,1.716532574000000,2.136603717000000,-0.324065499000000,0.349830499000000,0.506439120000000,2.638844896000000,4.492165845000000,3.023666609000000,-8.406200000000000,4.591000000000000,2.167600000000000,-12.610600000000000,-5.914000000000000,3.440200000000000,5.429750000000000,0.809745000000000,3.919350000000000,0.027352738000000,-0.336382158000000,0.060278909000000,32.000000000000000,57.000000000000000,32.000000000000000,102752.000000000000000,23228.000000000000000,10389.000000000000000,1.562500000000000,2492.956064999999900,0.976562500000000,120.122632600000000,0.781250000000000,266.657656799999980,1.000000000000000,7.000000000000000
-24.442399999999999,-0.716550000000000,-1.458800000000000,0.058940000000000,11.356199999999999,8.941800000000001,-9.428111556999999,4.355256883000000,2.547715045000000,20.750488340000000,2.884405016000000,3.951175574000000,4.555270391000000,1.698353619000000,1.987756417000000,-0.352124492000000,0.292469396000000,0.576436228000000,2.514719152000000,3.454435239000000,3.218431931000000,-8.656350000000000,4.183600000000000,2.353400000000000,-12.948399999999999,-6.014200000000000,3.170150000000000,5.523550000000000,0.890180000000000,3.971900000000000,-0.075953980000000,-0.478926029000000,0.192575512000000,34.000000000000000,43.000000000000000,36.000000000000000,109619.000000000000000,21850.000000000000000,10438.000000000000000,1.562500000000000,2592.162870000000100,1.562500000000000,180.415276299999990,1.367187500000000,492.930505200000030,1.000000000000000,7.000000000000000
-23.028900000000000,-0.896870000000000,-1.669300000000000,-2.600300000000000,8.429399999999999,9.713100000000001,-9.860711800000001,4.129774400000000,2.350786151000000,20.099183770000000,2.797453582000000,3.401345881000000,4.483211323000000,1.672558992000000,1.844273808000000,-0.458151440000000,0.287526927000000,0.457150458000000,2.162659464000000,2.530058352000000,3.047146548000000,-8.836750000000000,3.923850000000000,2.189050000000000,-13.593650000000000,-6.068750000000000,2.819800000000000,5.378400000000000,0.830155000000000,3.709000000000000,0.001683611000000,-0.673101715000000,0.128146941000000,35.000000000000000,46.000000000000000,32.000000000000000,117313.000000000000000,19850.000000000000000,8924.000000000000000,1.757812500000000,4113.171473999999800,1.757812500000000,221.254021900000000,1.757812500000000,384.413868999999980,1.000000000000000,7.000000000000000
-28.164999999999999,-3.460700000000000,-3.040100000000000,-2.237800000000000,11.037599999999999,9.713100000000001,-9.233820800000000,4.152760400000000,2.104737932000000,23.455788510000001,3.901263269000000,4.626076267000000,4.843117643000000,1.975161580000000,2.150831529000000,-0.819469429000000,0.419835622000000,0.557170742000000,3.276655776000000,4.419167156000000,3.196846317000000,-8.093700000000000,4.045100000000000,1.909600000000000,-12.374700000000001,-5.540650000000000,2.798100000000000,5.206200000000000,0.429910000000000,3.443650000000000,-0.153768082000000,-0.563555984000000,0.187300901000000,40.000000000000000,55.000000000000000,30.000000000000000,108696.000000000000000,21143.000000000000000,9051.000000000000000,1.757812500000000,2412.836034999999800,0.976562500000000,193.990277800000000,0.781250000000000,313.792050700000000,1.000000000000000,7.000000000000000
-28.164999999999999,-3.460700000000000,-3.040100000000000,-2.237800000000000,11.037599999999999,8.064700000000000,-9.267434500000000,4.206752979000000,2.154652546000000,21.942572330000001,3.443440936000000,4.047755787000000,4.684289949000000,1.855651081000000,2.011903523000000,-0.669373301000000,0.335857301000000,0.409745171000000,3.165717241000000,5.143829638000000,3.038031958000000,-8.382000000000000,4.195050000000000,2.041650000000000,-12.715800000000000,-5.338100000000000,2.944150000000000,5.202000000000000,0.554130000000000,3.332050000000000,-0.111845226000000,-0.566741437000000,0.219685834000000,34.000000000000000,47.000000000000000,32.000000000000000,107806.000000000000000,21137.000000000000000,8686.000000000000000,1.171875000000000,1632.104209000000100,1.757812500000000,184.209968199999990,1.171875000000000,519.804949599999990,1.000000000000000,7.000000000000000
-20.357900000000001,-0.529130000000000,-2.361700000000000,-2.793400000000000,10.443700000000000,6.827700000000000,-9.327551800000000,4.116051079000000,2.143843609000000,16.808670800000002,2.459273651000000,3.225030413000000,4.099837899000000,1.568207146000000,1.795836967000000,-0.316250153000000,0.650384365000000,0.173116529000000,2.115247588000000,4.422829917000000,2.596153373000000,-8.968400000000001,4.038050000000000,2.121300000000000,-12.536550000000000,-5.770800000000000,2.939350000000000,5.111650000000000,0.781875000000000,3.262050000000000,0.090783887000000,-0.557294946000000,0.072300013000000,31.000000000000000,46.000000000000000,33.000000000000000,103795.000000000000000,19399.000000000000000,7818.000000000000000,1.757812500000000,2237.112672000000200,0.976562500000000,92.193510340000003,1.562500000000000,177.030644499999990,1.000000000000000,7.000000000000000
-18.355699999999999,0.333740000000000,-2.361700000000000,-1.502500000000000,10.830500000000001,10.089900000000000,-9.330768100000000,4.104725170000000,2.087682370000000,16.094090300000001,2.675332822000000,3.680799412000000,4.011744047000000,1.635644467000000,1.918540959000000,-0.263697767000000,1.169791525000000,0.341624150000000,2.049381608000000,5.137702811000000,3.133535654000000,-8.771250000000000,3.834700000000000,2.109650000000000,-12.496449999999999,-6.059400000000000,2.983200000000000,4.945000000000000,0.614040000000000,3.282750000000000,-0.009400912000000,-0.452852049000000,0.162309009000000,32.000000000000000,53.000000000000000,29.000000000000000,103141.000000000000000,19521.000000000000000,8036.000000000000000,1.757812500000000,2020.138962000000000,0.976562500000000,192.420427899999990,0.781250000000000,208.996722600000000,1.000000000000000,7.000000000000000
-18.820699999999999,0.333740000000000,-2.554600000000000,-1.502500000000000,10.830500000000001,10.089900000000000,-9.416590299999999,4.126982270000000,2.147927080000000,17.883917969999999,2.633166743000000,3.628826003000000,4.228938161000000,1.622703529000000,1.904947769000000,-0.301449709000000,0.884904946000000,0.357909650000000,1.954941249000000,4.354393843000000,3.315893445000000,-8.572800000000001,3.927250000000000,2.120250000000000,-13.040600000000000,-6.050900000000000,2.980550000000000,5.033350000000000,0.687305000000000,3.372450000000000,-0.059728256000000,-0.448828870000000,0.234461839000000,32.000000000000000,50.000000000000000,30.000000000000000,106538.000000000000000,19663.000000000000000,8239.000000000000000,1.367187500000000,1943.563392999999900,0.976562500000000,130.259667799999990,0.781250000000000,219.388567200000010,1.000000000000000,7.000000000000000
-18.820699999999999,1.079400000000000,-2.554600000000000,-1.868800000000000,11.459700000000000,6.791900000000000,-9.516988899999999,4.220381200000000,2.219009901000000,17.919682529999999,3.102811124000000,2.982607633000000,4.233164600000000,1.761479811000000,1.727022766000000,-0.255038526000000,0.800465982000000,0.064352716000000,1.828132754000000,3.897677046000000,2.701417198000000,-8.800150000000000,3.979950000000000,2.126150000000000,-13.400350000000000,-5.808300000000000,2.857450000000000,5.417700000000000,0.906315000000000,3.430850000000000,0.024369646000000,-0.496592778000000,0.325503512000000,32.000000000000000,43.000000000000000,36.000000000000000,108475.000000000000000,20911.000000000000000,7904.000000000000000,1.757812500000000,1721.031068999999900,0.976562500000000,200.423034500000000,1.562500000000000,181.110217100000000,1.000000000000000,7.000000000000000
-20.745500000000000,0.034864000000000,-2.900000000000000,-1.868800000000000,11.459700000000000,7.584200000000000,-9.468971500000000,4.105099274000000,2.389852769000000,16.446487569999999,2.884742263000000,3.487109786000000,4.055426928000000,1.698452903000000,1.867380461000000,-0.307688427000000,0.720010442000000,-0.037354706000000,2.098568889000000,4.156135206000000,2.766065387000000,-8.939600000000000,3.912800000000000,2.239550000000000,-12.783450000000000,-6.036200000000000,2.873000000000000,5.184150000000000,1.031600000000000,3.768800000000000,0.045480650000000,-0.483394586000000,0.237790761000000,33.000000000000000,49.000000000000000,36.000000000000000,106091.000000000000000,19734.000000000000000,9195.000000000000000,1.757812500000000,2825.468225000000100,0.976562500000000,297.377516800000020,1.757812500000000,251.611382999999990,1.000000000000000,7.000000000000000
